"じょう";上;"Above";kanji;"じょう:on, うえ:kun, あ:kun, のぼ:kun, うわ:kun, かみ:kun"
"いち";一;"One";kanji;"いち:on, いつ:on, ひと:kun, かず:nan"
"に";二;"Two";kanji;"に:on, ふた:kun"
"く";九;"Nine";kanji;"く:on, きゅう:on, ここの:kun"
"しち";七;"Seven";kanji;"しち:on, なな:kun, なの:kun"
"にん";人;"Person";kanji;"にん:on, じん:on, ひと:kun, と:kun"
"にゅう";入;"Enter";kanji;"にゅう:on, はい:kun, い:kun"
"はち";八;"Eight";kanji;"はち:on, や:kun, よう:kun"
"じゅう";十;"Ten";kanji;"じゅう:on, とお:kun"
"さん";三;"Three";kanji;"さん:on, み:kun"
"か";下;"Below";kanji;"か:on, げ:on, した:kun, さ:kun, くだ:kun, お:kun"
"たい";大;"Big";kanji;"たい:on, だい:on, おお:kun, ひろ:nan"
"じょ";女;"Woman";kanji;"じょ:on, おんな:kun, め:kun"
"さん";山;"Mountain";kanji;"さん:on, やま:kun"
"かわ";川;"River";kanji;"かわ:kun, せん:on"
"すい";水;"Water";kanji;"すい:on, みず:kun"
"しゅつ";出;"Exit";kanji;"しゅつ:on, で:kun, だ:kun"
"もく";木;"Tree";kanji;"もく:on, ぼく:on, き:kun, こ:kun"
"か";火;"Fire";kanji;"か:on, ひ:kun, ほ:kun"
"ど";土;"Dirt";kanji;"ど:on, と:on, つち:kun"
"せん";千;"Thousand";kanji;"せん:on, ち:kun"
"し";子;"Child";kanji;"し:on, す:on, こ:kun"
"しょう";小;"Small";kanji;"しょう:on, ちい:kun, こ:kun, お:kun"
"ちゅう";中;"Middle";kanji;"ちゅう:on, なか:kun"
"ご";五;"Five";kanji;"ご:on, いつ:kun"
"ろく";六;"Six";kanji;"ろく:on, む:kun"
"えん";円;"Yen";kanji;"えん:on, まる:kun"
"てん";天;"Heaven";kanji;"てん:on, あま:kun"
"にち";日;"Sun";kanji;"にち:on, じつ:on, ひ:kun, か:kun, び:kun"
"げつ";月;"Moon";kanji;"げつ:on, がつ:on, つき:kun"
"ゆう";右;"Right";kanji;"ゆう:on, う:on, みぎ:kun"
"し";四;"Four";kanji;"し:on, よん:kun, よ:kun"
"さ";左;"Left";kanji;"さ:on, ひだり:kun"
"ほん";本;"Book";kanji;"ほん:on, もと:kun"
"はく";白;"White";kanji;"はく:on, しろ:kun, しら:kun"
"ご";午;"Noon";kanji;"ご:on"
"はん";半;"Half";kanji;"はん:on, なか:kun"
"こん";今;"Now";kanji;"こん:on, いま:kun"
"がい";外;"Outside";kanji;"がい:on, そと:kun, はず:kun"
"まん";万;"Ten Thousand";kanji;"まん:on, ばん:on"
"ゆう";友;"Friend";kanji;"ゆう:on, とも:kun"
"ちち";父;"Father";kanji;"ちち:kun, とう:kun, ふ:on"
"ほく";北;"North";kanji;"ほく:on, きた:kun"
"はは";母;"Mother";kanji;"はは:kun, かあ:kun, ぼ:on"
"せい";生;"Life";kanji;"せい:on, しょう:on, い:kun, なま:kun, う:kun, は:kun, き:kun"
"せん";先;"Previous";kanji;"せん:on, さき:kun, まず:kun"
"だん";男;"Man";kanji;"だん:on, なん:on, おとこ:kun"
"きゅう";休;"Rest";kanji;"きゅう:on, やす:kun"
"めい";名;"Name";kanji;"めい:on, みょう:on, な:kun"
"ねん";年;"Year";kanji;"ねん:on, とし:kun"
"き";気;"Energy";kanji;"き:on, け:on, いき:kun"
"ひゃく";百;"Hundred";kanji;"ひゃく:on, もも:kun"
"み";見;"See";kanji;"み:kun, けん:on"
"しゃ";車;"Car";kanji;"しゃ:on, くるま:kun"
"まい";毎;"Every";kanji;"まい:on, ごと:kun"
"こう";行;"Go";kanji;"こう:on, ぎょう:on, い:kun, おこな:kun, ゆ:kun"
"らい";来;"Come";kanji;"らい:on, く:kun"
"がく";学;"Study";kanji;"がく:on, まな:kun"
"せい";西;"West";kanji;"せい:on, さい:on, にし:kun"
"なに";何;"What";kanji;"なに:kun, なん:kun, か:on"
"きん";金;"Gold";kanji;"きん:on, かね:kun"
"あめ";雨;"Rain";kanji;"あめ:kun, あま:kun, う:on"
"こく";国;"Country";kanji;"こく:on, くに:kun"
"とう";東;"East";kanji;"とう:on, ひがし:kun"
"ちょう";長;"Long";kanji;"ちょう:on, なが:kun, は:nan"
"ぜん";前;"Front";kanji;"ぜん:on, まえ:kun"
"なん";南;"South";kanji;"なん:on, みなみ:kun"
"ご";後;"Behind";kanji;"ご:on, こう:on, うし:kun, あと:kun, のち:kun"
"しょく";食;"Eat";kanji;"しょく:on, た:kun, く:kun"
"こう";校;"School";kanji;"こう:on"
"じ";時;"Time";kanji;"じ:on, とき:kun"
"こう";高;"Tall";kanji;"こう:on, たか:kun"
"わ";話;"Talk";kanji;"わ:on, はな:kun, はなし:kun"
"かん";間;"Interval";kanji;"かん:on, けん:on, あいだ:kun, ま:kun"
"でん";電;"Electricity";kanji;"でん:on"
"ぶん";聞;"Hear";kanji;"ぶん:on, もん:on, き:kun"
"ご";語;"Language";kanji;"ご:on, かた:kun"
"よ";読;"Read";kanji;"よ:kun, とう:on, どく:on"
"しょ";書;"Write";kanji;"しょ:on, か:kun"