id	Kanji	JLPT-test	"Reading within Joyo"
1075	甚	1	ジン、はなは-だ、はなは-だしい
1076	陣	1	ジン
1077	尋	1	ジン、たず-ねる
1079	須	1	ス
1083	垂	1	スイ、た-れる、た-らす
1084	炊	1	スイ、た-く
1085	帥	1	スイ
1086	粋	1	スイ、いき
1087	衰	1	スイ、おとろ-える
1088	推	1	スイ、お-す
1089	酔	1	スイ、よ-う
1090	遂	1	スイ、と-げる
1091	睡	1	スイ
1092	穂	1	スイ、ほ
1093	随	1	ズイ
1094	髄	1	ズイ
1095	枢	1	スウ
1096	崇	1	スウ
1098	据	1	す-える、す-わる
1099	杉	1	すぎ
1101	寸	1	スン
1102	瀬	1	せ
1103	是	1	ゼ
1104	井	1	セイ、[ショウ]、い
1113	征	1	セイ
1116	斉	1	セイ
1119	牲	1	セイ
1122	逝	1	セイ、ゆ-く、い-く
1124	盛	1	セイ、[ジョウ]、も-る、さか-る、さか-ん
1125	婿	1	セイ、むこ
1128	聖	1	セイ
1129	誠	1	セイ、まこと
1131	製	1	セイ
1132	誓	1	セイ、ちか-う
1134	請	1	セイ、[シン]、こ-う、う-ける
1135	整	1	セイ、ととの-える、ととの-う
1139	斥	1	セキ
1143	析	1	セキ
1147	惜	1	セキ、お-しい、お-しむ
1156	拙	1	セツ、つたな-い
1157	窃	1	セツ
1161	摂	1	セツ
1162	節	1	セツ、[セチ]、ふし
1164	舌	1	ゼツ、した
1168	仙	1	セン
1171	宣	1	セン
1176	染	1	セン、そ-める、そ-まる、し-みる、し-み
1177	扇	1	セン、おうぎ
1178	栓	1	セン
1179	旋	1	セン
1186	践	1	セン
1188	銭	1	セン、ぜに
1189	潜	1	セン、ひそ-む、もぐ-る
1191	遷	1	セン
1193	薦	1	セン、すす-める
1194	繊	1	セン
1195	鮮	1	セン、あざ-やか
1198	善	1	ゼン、よ-い
1200	禅	1	ゼン
1201	漸	1	ゼン
1203	繕	1	ゼン、つくろ-う
1204	狙	1	ソ、ねら-う
1205	阻	1	ソ、はば-む
1207	租	1	ソ
1208	素	1	ソ、ス
1209	措	1	ソ
1210	粗	1	ソ、あら-い
1212	疎	1	ソ、うと-い、うと-む
1213	訴	1	ソ、うった-える
1214	塑	1	ソ
1216	礎	1	ソ、いしずえ
1218	壮	1	ソウ
1222	奏	1	ソウ、かな-でる
1224	荘	1	ソウ
1227	倉	1	ソウ、くら
1229	挿	1	ソウ、さ-す
1230	桑	1	ソウ、くわ
1231	巣	1	ソウ、す
1233	曹	1	ソウ
1235	爽	1	ソウ、さわ-やか
1237	創	1	ソウ、つく-る
1238	喪	1	ソウ、も
1240	葬	1	ソウ、ほうむ-る
1242	僧	1	ソウ
1246	遭	1	ソウ、あ-う
1247	槽	1	ソウ
1249	操	1	ソウ、みさお、あやつ-る
1251	霜	1	ソウ、しも
1252	騒	1	ソウ、さわ-ぐ
1253	藻	1	ソウ、も
1261	即	1	ソク
1264	促	1	ソク、うなが-す
1271	俗	1	ゾク
1273	属	1	ゾク
1274	賊	1	ゾク
1277	率	1	ソツ、リツ、ひき-いる
1286	汰	1	タ
1288	妥	1	ダ
1290	堕	1	ダ
1291	惰	1	ダ
1292	駄	1	ダ
1296	耐	1	タイ、た-える
1298	怠	1	タイ、おこた-る、なま-ける
1299	胎	1	タイ
1302	泰	1	タイ
1305	逮	1	タイ
1308	隊	1	タイ
1309	滞	1	タイ、とどこお-る
1310	態	1	タイ
1315	第	1	ダイ
1317	滝	1	たき
1319	択	1	タク
1320	沢	1	タク、さわ
1321	卓	1	タク
1322	拓	1	タク
1323	託	1	タク
1325	諾	1	ダク
1326	濁	1	ダク、にご-る、にご-す
1327	但	1	ただ-し
1329	脱	1	ダツ、ぬ-ぐ、ぬ-げる
1330	奪	1	ダツ、うば-う
1331	棚	1	たな
1333	丹	1	タン
1334	旦	1	タン、ダン
1338	胆	1	タン
1340	淡	1	タン、あわ-い
1342	嘆	1	タン、なげ-く、なげ-かわしい
1343	端	1	タン、はし、は、はた
1345	誕	1	タン
1346	鍛	1	タン、きた-える
1351	弾	1	ダン、ひ-く、はず-む、たま
1352	暖	1	ダン、あたた-か、あたた-かい、あたた-まる、あたた-める
1354	壇	1	ダン、[タン]
1360	致	1	チ、いた-す
1362	痴	1	チ
1363	稚	1	チ
1368	逐	1	チク
1369	蓄	1	チク、たくわ-える
1371	秩	1	チツ
1372	窒	1	チツ
1375	嫡	1	チャク
1379	沖	1	チュウ、おき
1380	宙	1	チュウ
1381	忠	1	チュウ
1382	抽	1	チュウ
1386	衷	1	チュウ
1388	鋳	1	チュウ、い-る
1392	丁	1	チョウ、テイ
1393	弔	1	チョウ、とむら-う
1398	挑	1	チョウ、いど-む
1399	帳	1	チョウ
1400	張	1	チョウ、は-る
1401	彫	1	チョウ、ほ-る
1402	眺	1	チョウ、なが-める
1403	釣	1	チョウ、つ-る
1409	腸	1	チョウ
1410	跳	1	チョウ、は-ねる、と-ぶ
1411	徴	1	チョウ
1413	潮	1	チョウ、しお
1414	澄	1	チョウ、す-む、す-ます
1416	聴	1	チョウ、き-く
1417	懲	1	チョウ、こ-りる、こ-らす、こ-らしめる
1419	勅	1	チョク
1423	朕	1	チン
1424	陳	1	チン
1425	賃	1	チン
1426	鎮	1	チン、しず-める、しず-まる
1428	椎	1	ツイ
1429	墜	1	ツイ
1432	塚	1	つか
1433	漬	1	つ-ける、つ-かる
1434	坪	1	つぼ
1436	鶴	1	つる
1438	呈	1	テイ
1439	廷	1	テイ
1443	抵	1	テイ
1444	邸	1	テイ
1445	亭	1	テイ
1446	貞	1	テイ
1447	帝	1	テイ
1448	訂	1	テイ
1450	逓	1	テイ
1452	偵	1	テイ
1453	堤	1	テイ、つつみ
1454	提	1	テイ、さ-げる
1456	艇	1	テイ
1457	締	1	テイ、し-まる、し-める
1461	笛	1	テキ、ふえ
1462	摘	1	テキ、つ-む
1465	敵	1	テキ、かたき
1467	迭	1	テツ
1468	哲	1	テツ
1470	徹	1	テツ
1471	撤	1	テツ
1473	典	1	テン
1476	展	1	テン
1477	添	1	テン、そ-える、そ-う
1484	斗	1	ト
1485	吐	1	ト、は-く
1494	奴	1	ド
1498	刀	1	トウ、かたな
1503	豆	1	トウ、[ズ]、まめ
1511	桃	1	トウ、もも
1512	討	1	トウ、う-つ
1513	透	1	トウ、す-く、す-かす、す-ける
1515	悼	1	トウ、いた-む
1517	陶	1	トウ
1519	搭	1	トウ
1520	棟	1	トウ、むね、[むな]
1522	痘	1	トウ
1527	統	1	トウ、す-べる
1528	稲	1	トウ、いね、[いな]
1529	踏	1	トウ、ふ-む、ふ-まえる
1530	糖	1	トウ
1532	謄	1	トウ
1533	藤	1	トウ、ふじ
1534	闘	1	トウ、たたか-う
1535	騰	1	トウ
1537	洞	1	ドウ、ほら
1538	胴	1	ドウ
1546	瞳	1	ドウ、ひとみ
1547	峠	1	とうげ
1548	匿	1	トク
1551	督	1	トク
1552	徳	1	トク
1553	篤	1	トク
1555	独	1	ドク、ひと-り
1558	凸	1	トツ
1561	屯	1	トン
1562	豚	1	トン、ぶた
1568	那	1	ナ
1569	奈	1	ナ
1571	梨	1	なし
1578	尼	1	ニ、あま
1579	弐	1	ニ
1582	虹	1	にじ
1586	尿	1	ニョウ
1588	妊	1	ニン
1589	忍	1	ニン、しの-ぶ、しの-ばせる
1591	寧	1	ネイ
1596	粘	1	ネン、ねば-る
1599	納	1	ノウ、[ナッ]、[ナ]、[ナン]、[トウ]、おさ-める、おさ-まる
1604	把	1	ハ
1606	派	1	ハ
1608	覇	1	ハ
1610	婆	1	バ
1615	肺	1	ハイ
1616	俳	1	ハイ
1618	排	1	ハイ
1620	廃	1	ハイ、すた-れる、すた-る
1621	輩	1	ハイ
1624	梅	1	バイ、うめ
1625	培	1	バイ、つちか-う
1626	陪	1	バイ
1627	媒	1	バイ
1629	賠	1	バイ
1631	伯	1	ハク
1632	拍	1	ハク、[ヒョウ]
1634	迫	1	ハク、せま-る
1636	舶	1	ハク
1637	博	1	ハク、[バク]
1640	漠	1	バク
1641	縛	1	バク、しば-る
1648	鉢	1	ハチ、[ハツ]
1651	伐	1	バツ
1653	罰	1	バツ、バチ
1654	閥	1	バツ
1659	帆	1	ハン、ほ
1661	伴	1	ハン、バン、ともな-う
1667	班	1	ハン
1668	畔	1	ハン
1673	搬	1	ハン
1674	煩	1	ハン、[ボン]、わずら-う、わずら-わす
1675	頒	1	ハン
1676	範	1	ハン
1677	繁	1	ハン
1678	藩	1	ハン
1681	蛮	1	バン
1682	盤	1	バン
1685	妃	1	ヒ
1687	批	1	ヒ
1689	披	1	ヒ
1690	肥	1	ヒ、こ-える、こえ、こ-やす、こ-やし
1692	卑	1	ヒ、いや-しい、いや-しむ、いや-しめる
1695	秘	1	ヒ、ひ-める
1698	扉	1	ヒ、とびら
1700	碑	1	ヒ
1701	罷	1	ヒ
1702	避	1	ヒ、さ-ける
1703	尾	1	ビ、お
1704	眉	1	ビ、[ミ]、まゆ
1707	微	1	ビ
1713	泌	1	ヒツ、ヒ
1715	姫	1	ひめ
1719	俵	1	ヒョウ、たわら
1720	票	1	ヒョウ
1721	評	1	ヒョウ
1722	漂	1	ヒョウ、ただよ-う
1723	標	1	ヒョウ
1724	苗	1	ビョウ、なえ、[なわ]
1727	描	1	ビョウ、えが-く、か-く
1730	浜	1	ヒン、はま
1732	賓	1	ヒン
1733	頻	1	ヒン
1734	敏	1	ビン
1741	扶	1	フ
1745	附	1	フ
1748	赴	1	フ、おもむ-く
1754	腐	1	フ、くさ-る、くさ-れる、くさ-らす
1755	敷	1	フ、し-く
1757	賦	1	フ
1758	譜	1	フ
1759	侮	1	ブ、あなど-る
1765	伏	1	フク、ふ-せる、ふ-す
1773	覆	1	フク、おお-う、くつがえ-す、くつがえ-る
1779	紛	1	フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい
1780	雰	1	フン
1781	噴	1	フン、ふ-く
1782	墳	1	フン
1783	憤	1	フン、いきどお-る
1784	奮	1	フン、ふる-う
1788	丙	1	ヘイ
1791	併	1	ヘイ、あわ-せる
1793	柄	1	ヘイ、がら、え
1794	陛	1	ヘイ
1796	塀	1	ヘイ
1797	幣	1	ヘイ
1798	弊	1	ヘイ
1802	壁	1	ヘキ、かべ
1804	癖	1	ヘキ、くせ
1811	偏	1	ヘン、かたよ-る
1812	遍	1	ヘン
1814	弁	1	ベン
1818	保	1	ホ、たも-つ
1822	舗	1	ホ
1825	墓	1	ボ、はか
1826	慕	1	ボ、した-う
1828	簿	1	ボ
1831	芳	1	ホウ、かんば-しい
1832	邦	1	ホウ
1833	奉	1	ホウ、[ブ]、たてまつ-る
1838	泡	1	ホウ、あわ
1839	胞	1	ホウ
1840	俸	1	ホウ
1841	倣	1	ホウ、なら-う
1842	峰	1	ホウ、みね
1843	砲	1	ホウ
1844	崩	1	ホウ、くず-れる、くず-す
1849	飽	1	ホウ、あ-きる、あ-かす
1850	褒	1	ホウ、ほ-める
1851	縫	1	ホウ、ぬ-う
1853	乏	1	ボウ、とぼ-しい
1856	妨	1	ボウ、さまた-げる
1859	房	1	ボウ、ふさ
1860	肪	1	ボウ
1861	某	1	ボウ
1862	冒	1	ボウ、おか-す
1863	剖	1	ボウ
1864	紡	1	ボウ、つむ-ぐ
1866	傍	1	ボウ、かたわ-ら
1872	膨	1	ボウ、ふく-らむ、ふく-れる
1873	謀	1	ボウ、[ム]、はか-る
1877	朴	1	ボク
1878	牧	1	ボク、まき
1879	睦	1	ボク
1880	僕	1	ボク
1881	墨	1	ボク、すみ
1882	撲	1	ボク
1883	没	1	ボツ
1885	堀	1	ほり
1887	奔	1	ホン
1888	翻	1	ホン、ひるがえ-る、ひるがえ-す
1889	凡	1	ボン、[ハン]
1890	盆	1	ボン
1891	麻	1	マ、あさ
1892	摩	1	マ
1894	魔	1	マ
1900	幕	1	マク、バク
1901	膜	1	マク
1903	又	1	また
1905	抹	1	マツ
1908	慢	1	マン
1909	漫	1	マン
1912	魅	1	ミ
1913	岬	1	みさき
1914	密	1	ミツ
1916	脈	1	ミャク
1917	妙	1	ミョウ
1920	矛	1	ム、ほこ
1924	霧	1	ム、きり
1931	盟	1	メイ
1932	銘	1	メイ
1934	滅	1	メツ、ほろ-びる、ほろ-ぼす
1935	免	1	メン、まぬか-れる
1939	茂	1	モ、しげ-る
1940	模	1	モ、ボ
1942	妄	1	モウ、ボウ
1943	盲	1	モウ
1944	耗	1	モウ、[コウ]
1945	猛	1	モウ
1946	網	1	モウ、あみ
1948	黙	1	モク、だま-る
1950	紋	1	モン
1952	冶	1	ヤ
1955	弥	1	や
1956	厄	1	ヤク
1959	訳	1	ヤク、わけ
1961	躍	1	ヤク、おど-る
1966	愉	1	ユ
1967	諭	1	ユ、さと-す
1969	癒	1	ユ、い-える、い-やす
1970	唯	1	ユイ、[イ]
1974	幽	1	ユウ
1975	悠	1	ユウ
1977	湧	1	ユウ、わ-く
1978	猶	1	ユウ
1979	裕	1	ユウ
1981	雄	1	ユウ、お、おす
1982	誘	1	ユウ、さそ-う
1983	憂	1	ユウ、うれ-える、うれ-い、う-い
1984	融	1	ユウ
1989	誉	1	ヨ、ほま-れ
1993	羊	1	ヨウ、ひつじ
1998	庸	1	ヨウ
1999	揚	1	ヨウ、あ-げる、あ-がる
2000	揺	1	ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
2008	窯	1	ヨウ、かま
2009	養	1	ヨウ、やしな-う
2010	擁	1	ヨウ
2011	謡	1	ヨウ、うたい、うた-う
2013	抑	1	ヨク、おさ-える
2018	翼	1	ヨク、つばさ
2020	裸	1	ラ、はだか
2021	羅	1	ラ
2023	雷	1	ライ、かみなり
2027	酪	1	ラク
2031	覧	1	ラン
2032	濫	1	ラン
2033	藍	1	ラン、あい
2034	欄	1	ラン
2035	吏	1	リ
2039	痢	1	リ
2041	履	1	リ、は-く
2042	璃	1	リ
2043	離	1	リ、はな-れる、はな-す
2049	柳	1	リュウ、やなぎ
2052	竜	1	リュウ、たつ
2054	隆	1	リュウ
2055	硫	1	リュウ
2058	虜	1	リョ
2059	慮	1	リョ
2065	猟	1	リョウ
2066	陵	1	リョウ、みささぎ
2068	僚	1	リョウ
2070	寮	1	リョウ
2072	瞭	1	リョウ
2073	糧	1	リョウ、[ロウ]、かて
2077	厘	1	リン
2078	倫	1	リン
2080	隣	1	リン、とな-る、となり
2081	臨	1	リン、のぞ-む
2082	瑠	1	ル
2084	累	1	ルイ
2085	塁	1	ルイ
2090	励	1	レイ、はげ-む、はげ-ます
2093	鈴	1	レイ、リン、すず
2095	霊	1	レイ、リョウ、たま
2096	隷	1	レイ
2098	麗	1	レイ、うるわ-しい
2099	暦	1	レキ、こよみ
2102	劣	1	レツ、おと-る
2103	烈	1	レツ
2104	裂	1	レツ、さ-く、さ-ける
2107	廉	1	レン
2109	錬	1	レン
2110	呂	1	ロ
2111	炉	1	ロ
2114	露	1	ロ、[ロウ]、つゆ
2118	郎	1	ロウ
2119	朗	1	ロウ、ほが-らか
2120	浪	1	ロウ
2121	廊	1	ロウ
2122	楼	1	ロウ
2123	漏	1	ロウ、も-る、も-れる、も-らす
2131	賄	1	ワイ、まかな-う
2133	惑	1	ワク、まど-う
2134	枠	1	わく
