そん	遜	そん:on, したが:kun
うかが	伺	うかが:kun, し:on
てつ	徹	てつ:on
せ	瀬	せ:kun, らい:on
てつ	撤	てつ:on
そ	措	そ:on
きょ	拠	きょ:on, こ:on, よ:kun
ぎ	儀	ぎ:on
じゅ	樹	じゅ:on, き:kun, いつき:nan
き	棄	き:on
とら	虎	とら:kun, こ:on
ほたる	蛍	ほたる:kun, けい:on
はち	蜂	はち:kun, ほう:on
ちゅう	酎	ちゅう:on, ちゅ:on, かも:kun
みつ	蜜	みつ:on
きょ	墟	きょ:on
かん	艦	かん:on
せん	潜	せん:on, くぐ:kun, ひそ:kun, もぐ:kun
けん	拳	けん:on, げん:on, こぶし:kun
たん	炭	たん:on, すみ:kun
はたけ	畑	はたけ:kun, はた:kun
ほう	包	ほう:on, つつ:kun, くる:kun
い	衣	い:on, え:on, ころも:kun, きぬ:kun
じん	仁	じん:on
こう	鉱	こう:on, あらがね:kun
し	至	し:on, いた:kun
せい	誠	せい:on, まこと:kun
きょう	郷	きょう:on
しん	侵	しん:on, おか:kun
ぎ	偽	ぎ:on, にせ:kun, いつわ:kun
うそ	嘘	うそ:kun
せい	凄	せい:on, すご:kun
けん	喧	けん:on, やかま:kun
か	嘩	か:on
こく	克	こく:on
とう	到	とう:on
そう	双	そう:on, ふた:kun
てつ	哲	てつ:on
そう	喪	そう:on, も:kun
かた	堅	かた:kun, けん:on
しょう	床	しょう:on, ゆか:kun, とこ:kun
かつ	括	かつ:on, くく:kun
こ	弧	こ:on
ちょう	挑	ちょう:on, いど:kun
くつ	掘	くつ:on, ほ:kun
あ	揚	あ:kun, よう:on
あく	握	あく:on, にぎ:kun
よう	揺	よう:on, ゆ:kun
さい	斎	さい:on, いつ:kun
ざん	暫	ざん:on, しばら:kun
せき	析	せき:on
すう	枢	すう:on, からくり:kun
じく	軸	じく:on
がら	柄	がら:kun, へい:on
はく	泊	はく:on, と:kun
かつ	滑	かつ:on, すべ:kun, なめ:kun
かた	潟	かた:kun, せき:on
しょう	焦	しょう:on, こ:kun, あせ:kun
はん	範	はん:on
ふん	紛	ふん:on, まぎ:kun, まぐ:kun
きゅう	糾	きゅう:on
つな	綱	つな:kun, こう:on
もう	網	もう:on, あみ:kun
かん	肝	かん:on, きも:kun
しば	芝	しば:kun, し:on
あ	荒	あ:kun, あら:kun, こう:on
ふくろ	袋	ふくろ:kun, たい:on
だれ	誰	だれ:kun
ちん	珍	ちん:on, めずら:kun
れつ	裂	れつ:on, さ:kun
しゅう	襲	しゅう:on, おそ:kun
こう	貢	こう:on, みつ:kun
しゅ	趣	しゅ:on, おもむき:kun
きょ	距	きょ:on
せき	籍	せき:on
ろ	露	ろ:on, ろう:on, つゆ:kun
ぼく	牧	ぼく:on, まき:kun
さつ	刷	さつ:on, す:kun
ろう	朗	ろう:on, ほが:kun
ちょう	潮	ちょう:on, しお:kun
そく	即	そく:on, すなわ:kun
かき	垣	かき:kun
い	威	い:on
ふう	封	ふう:on, ほう:on
とう	筒	とう:on, つつ:kun
がく	岳	がく:on, たけ:kun
い	慰	い:on, なぐさ:kun
こん	懇	こん:on
ちょう	懲	ちょう:on, こ:kun
ま	摩	ま:on, さす:kun
さつ	擦	さつ:on, こす:kun, す:kun
ぼく	撲	ぼく:on
せい	斉	せい:on, さい:on
し	旨	し:on, うま:kun, むね:kun
じゅう	柔	じゅう:on, にゅう:on, やわ:kun
ちん	沈	ちん:on, しず:kun
ぬま	沼	ぬま:kun, しょう:on
たい	泰	たい:on
めつ	滅	めつ:on, ほろ:kun
じ	滋	じ:on
ろ	炉	ろ:on, いろり:kun
こと	琴	こと:kun
すん	寸	すん:on
りゅう	竜	りゅう:on, たつ:kun
えん	縁	えん:on, ねん:on, ふち:kun
よく	翼	よく:on, つばさ:kun
きつ	吉	きつ:on, きち:on, よし:kun
は	刃	は:kun, やいば:kun, じん:on, にん:on
にん	忍	にん:on, しの:kun
もも	桃	もも:kun, とう:on
しん	辛	しん:on, から:kun, つら:kun
なぞ	謎	なぞ:kun
さむらい	侍	さむらい:kun
おれ	俺	おれ:kun
しか	叱	しか:kun
ご	娯	ご:on
と	斗	と:on
しゅ	朱	しゅ:on, あけ:kun
きゅう	丘	きゅう:on, おか:kun
なし	梨	なし:kun
ひき	匹	ひき:kun
きょう	叫	きょう:on, さけ:kun
つ	釣	つ:kun, ちょう:on
かみ	髪	かみ:kun, はつ:on
あらし	嵐	あらし:kun
かさ	笠	かさ:kun
るい	涙	るい:on, なみだ:kun
かん	缶	かん:on
ひめ	姫	ひめ:kun
たな	棚	たな:kun, ほう:on
りゅう	粒	りゅう:on, つぶ:kun
ほう	砲	ほう:on
らい	雷	らい:on, かみなり:kun
め	芽	め:kun, が:on
とう	塔	とう:on
あい	挨	あい:on
さつ	拶	さつ:on
す	澄	す:kun, ちょう:on
む	矛	む:on, ほこ:kun
はだ	肌	はだ:kun, き:on
ふね	舟	ふね:kun, ふな:kun, しゅう:on
しょう	鐘	しょう:on, かね:kun
きょう	凶	きょう:on
かたまり	塊	かたまり:kun, かい:on
か	狩	か:kun, しゅ:on
ころ	頃	ころ:kun, ごろ:kun
こん	魂	こん:on, たましい:kun
きゃく	脚	きゃく:on, あし:kun
なり	也	なり:kun, や:on
しょう	井	しょう:on, い:kun
のろ	呪	のろ:kun, じゅ:on
じょう	嬢	じょう:on, むすめ:kun
れき	暦	れき:on, こよみ:kun
くも	曇	くも:kun
ちょう	眺	ちょう:on, なが:kun
ら	裸	ら:on, はだか:kun
か	賭	か:kun, と:on
ひ	疲	ひ:on, つか:kun
じゅく	塾	じゅく:on
たく	卓	たく:on
みが	磨	みが:kun, ま:on
きん	菌	きん:on
いん	陰	いん:on, かげ:kun
れい	霊	れい:on, りょう:on
しつ	湿	しつ:on, しめ:kun
こう	硬	こう:on, かた:kun
か	稼	か:on, かせ:kun
よめ	嫁	よめ:kun, とつ:kun, か:on
こう	溝	こう:on, みぞ:kun
たき	滝	たき:kun
きょう	狂	きょう:on, くる:kun
かけ	翔	かけ:kun, と:kun, しょう:on