い	偉 	admirable	3
ちょう	頂	place on the head	3
きょう	挟	pinch	2
ぐう	隅	corner	2
けん	軒	flats	2
こ	枯	wither	2
こう	耕	till	2
こう	肯	agreement	2
こう	郊	outskirts	2
し	脂	fat	2
しょう	召	seduce	2
せき	隻	vessels	2
そう	燥	parch	2
たく	濯	laundry	2
なん	軟	soft	2
びん	瓶	bottle	2
ふ	膚	skin	2
ふつ	沸	seethe	2
あ	亜	Asia	1
あ	阿	Africa	1
き	葵	hollyhock	1
せん	茜	madder	1
あく	渥	kindness	1
きょく	旭	rising sun	1
し	梓	catalpa tree	1
けん	絢	brilliant fabric design	1
りん	綾	design	1
でん	鮎	freshwater trout	1
きょう	杏	apricot	1
い	尉	military officer	1
い	惟	consider	1
い	緯	horizontal	1
がい	亥	sign of the hog	1
いく	郁	cultural progress	1
き	磯	seashore	1
いち	壱	one (in documents)	1
いつ	逸	deviate	1
いん	允	license	1
いん	姻	matrimony	1
いん	胤	descendent	1
いん	韻	rhyme	1
ぼう	卯	sign of the hare or rabbit	1
ちゅう	丑	sign of the ox or cow	1
か	渦	whirlpool	1
ばい	唄	songs with samisen	1
ほ	浦	bay	1
えい	叡	intelligence	1
えい	瑛	sparkle of jewelry	1
えい	詠	recitation	1
えつ	悦	ecstasy	1
えつ	謁	audience	1
えつ	閲	review	1
えん	艶	glossy	1
えん	苑	garden	1
お	於	at	1
おう	凹	concave	1
おう	旺	flourishing	1
おう	翁	venerable old man	1
おつ	乙	the latter	1
しゃ	卸	wholesale	1
か	伽	nursing	1
か	佳	excellent	1
か	嘉	applaud	1
か	寡	widow	1
か	禍	calamity	1
か	箇	counters for things	1
か	茄	eggplant	1
か	霞	be hazy	1
かい	拐	kidnap	1
かい	魁	charging ahead of others	1
がい	凱	victory song	1
がい	劾	censure	1
がい	慨	rue	1
がい	該	above-stated	1
けい	馨	fragrant	1
かく	嚇	menacing	1
かく	殻	husk	1
かく	郭	enclosure	1
かつ	喝	hoarse	1
かつ	褐	brown	1
かつ	轄	control	1
しょ	且	moreover	1
きょう	叶	grant	1
か	樺	birch	1
れん	鎌	sickle	1
ぼう	茅	miscanthus reed	1
かん	侃	strong	1
かん	冠	crown	1
かん	喚	yell	1
かん	堪	withstand	1
かん	寛	tolerant	1
かん	憾	remorse	1
かん	敢	daring	1
かん	棺	coffin	1
かん	款	goodwill	1
かん	莞	smiling	1
かん	貫	pierce	1
かん	閑	leisure	1
かん	陥	collapse	1
がん	巌	rock	1
き	嬉	glad	1
き	忌	mourning	1
き	毅	strong	1
き	稀	rare	1
ぎ	戯	frolic	1
ぎ	擬	mimic	1
ぎ	誼	friendship	1
きく	鞠	ball	1
きつ	橘	mandarin orange	1
ぎゃく	虐	tyrannize	1
きゅう	朽	decay	1
きゅう	窮	hard up	1
こう	亨	pass through	1
きょう	享	receive	1
きょう	匡	correct	1
きょう	喬	high	1
きょう	峡	gorge	1
きょう	恭	respect	1
きょう	矯	rectify	1
ぎょう	凝	freeze	1
ぎょう	尭	high	1
ぎょう	暁	dawn	1
とう	桐	paulownia	1
きん	錦	brocade	1
きん	斤	axe	1
きん	欣	take pleasure in	1
きん	欽	respect	1
きん	芹	parsley	1
きん	衿	neck	1
きん	襟	collar	1
きん	謹	discreet	1
ぎん	吟	versify	1
きゅう	玖	beautiful black jewel	1
ぐ	愚	foolish	1
ぐ	虞	expectation	1
ぐう	遇	interview	1
りつ	栗	chestnut	1
くん	勲	meritorious deed	1
くん	薫	send forth fragrance	1
ぐん	郡	county	1
け	袈	a coarse camlet	1
けい	啓	disclose	1
けい	圭	square jewel	1
けい	慶	jubilation	1
けい	慧	wise	1
けい	桂	Japanese Judas-tree	1
けい	渓	mountain stream	1
けい	茎	stalk	1
けい	鶏	chicken	1
げい	鯨	whale	1
けつ	傑	greatness	1
けん	倹	frugal	1
けん	絹	silk	1
けん	顕	appear	1
げん	弦	bowstring	1
げん	玄	mysterious	1
げん	絃	string	1
こ	孤	orphan	1
う	胡	barbarian	1
こ	鼓	drum	1
ご	伍	5-man squad	1
ご	呉	give	1
ご	梧	Chinese parasol tree	1
こ	瑚	ancestral offering receptacle	1
り	鯉	carp	1
こう	侯	marquis	1
こう	倖	happiness	1
こう	坑	pit	1
こう	宏	wide	1
こう	弘	vast	1
こう	恒	constancy	1
こう	昂	たか.い	1
こう	晃	clear	1
こう	洪	deluge	1
こう	浩	wide expanse	1
こう	稿	draft	1
こう	紘	large	1
こう	衡	equilibrium	1
こう	酵	fermentation	1
こう	鴻	ひしくい	1
ごう	拷	torture	1
こく	穀	cereals	1
こく	酷	cruel	1
こん	墾	ground-breaking	1
こん	紺	dark blue	1
さ	唆	tempt	1
さ	嵯	steep	1
さ	沙	sand	1
さ	瑳	polish	1
さ	鎖	chain	1
さ	裟	Buddhist surplice	1
さい	哉	how	1
さい	宰	superintend	1
さい	栽	plantation	1
さい	采	dice	1
ご	冴	be clear	1
さく	搾	squeeze	1
さく	朔	conjunction (astronomy)	1
さく	錯	confused	1
ささ	笹	bamboo grass	1
こう	皐	swamp	1
さん	惨	wretched	1
さん	桟	scaffold	1
さん	燦	brilliant	1
さん	蚕	silkworm	1
し	嗣	heir	1
し	肢	limb	1
し	賜	grant	1
し	雌	feminine	1
じ	慈	mercy	1
じ	爾	you	1
し	蒔	sow (seeds)	1
せき	汐	eventide	1
しつ	漆	lacquer	1
しつ	疾	rapidly	1
さい	偲	recollect	1
しゃ	赦	pardon	1
さ	紗	gauze	1
しゃ	遮	intercept	1
しゃく	勺	ladle	1
しゃく	爵	baron	1
しゃく	酌	bar-tending	1
しゃく	釈	explanation	1
じゃく	寂	loneliness	1
しゅ	殊	particularly	1
じゅ	儒	Confucian	1
しゅう	囚	captured	1
しゅう	愁	distress	1
しゅう	洲	continent	1
しゅう	酬	repay	1
しゅう	醜	ugly	1
しゅく	叔	uncle	1
しゅく	淑	graceful	1
しゅく	粛	solemn	1
しゅん	峻	high	1
どう	竣	end	1
しゅん	舜	type of morning glory	1
しゅん	駿	a good horse	1
じゅん	准	quasi-	1
じゅん	循	sequential	1
じゅん	殉	martyrdom	1
じゅん	淳	pure	1
じゅん	遵	abide by	1
しょ	曙	dawn	1
しょ	渚	strand	1
しょ	庶	commoner	1
じょ	叙	confer	1
じょ	徐	gradually	1
じょ	恕	excuse	1
しょう	匠	artisan	1
しょう	升	measuring box	1
しょう	宵	wee hours	1
しょう	尚	esteem	1
しょう	抄	extract	1
しょう	捷	victory	1
しょう	昌	prosperous	1
しょう	梢	treetops	1
しょう	硝	nitrate	1
しょう	礁	reef	1
しょう	祥	auspicious	1
しょう	肖	resemblance	1
しょう	菖	iris	1
しょう	蕉	banana	1
しょう	詔	imperial edict	1
じょう	丞	help	1
じょう	剰	surplus	1
じょう	壌	lot	1
じょう	浄	clean	1
じょう	穣	good crops	1
じょう	醸	brew	1
じょう	錠	lock	1
しょく	嘱	entrust	1
しん	晋	advance	1
しん	榛	hazelnut	1
しん	秦	Manchu dynasty	1
しん	紳	sire	1
しん	薪	fuel	1
じん	甚	tremendously	1
す	須	ought	1
すい	帥	commander	1
すい	翠	green	1
すい	錘	weight	1
ずい	随	follow	1
ずい	髄	marrow	1
すう	崇	adore	1
すう	嵩	be aggravated	1
すう	雛	chick	1
きょ	据	set	1
ぼう	畝	furrow	1
せい	牲	animal sacrifice	1
せい	逝	departed	1
せき	惜	pity	1
せき	斥	reject	1
せき	碩	large	1
せつ	拙	bungling	1
せつ	摂	vicarious	1
せつ	窃	stealth	1
せん	栓	plug	1
せん	旋	rotation	1
せん	繊	slender	1
せん	践	tread	1
せん	遷	transition	1
せん	銑	pig iron	1
ぜん	漸	steadily	1
ぜん	繕	darning	1
そ	塑	model	1
そ	疎	alienate	1
そ	粗	coarse	1
そう	惣	all	1
そう	曹	office	1
そう	槽	vat	1
そう	綜	rule	1
そう	聡	wise	1
そう	荘	villa	1
そう	蒼	blue	1
そう	藻	seaweed	1
そう	遭	encounter	1
ぞく	賊	burglar	1
た	汰	luxury	1
だ	堕	degenerate	1
だ	惰	lazy	1
たい	怠	neglect	1
たい	胎	womb	1
たい	黛	blackened eyebrows	1
ちょう	鯛	sea bream	1
よう	鷹	hawk	1
たく	啄	peck	1
たく	琢	polish	1
だく	濁	voiced	1
し	只	only	1
たん	但	however	1
しん	辰	sign of the dragon	1
そん	巽	southeast	1
たん	丹	rust-colored	1
たん	旦	daybreak	1
たん	胆	gall bladder	1
だん	檀	cedar	1
ち	智	wisdom	1
ち	痴	stupid	1
ちく	逐	pursue	1
ちつ	秩	regularity	1
ちつ	窒	plug up	1
ちゃく	嫡	legitimate wife	1
ちゅう	衷	inmost	1
ちゅう	鋳	casting	1
ちょ	猪	boar	1
ちょう	弔	condolences	1
ちょう	暢	stretch	1
ちょう	脹	dilate	1
ちょう	腸	intestines	1
ちょう	蝶	butterfly	1
ちょく	勅	imperial order	1
ちん	朕	majestic plural	1
ちん	鎮	tranquilize	1
ちん	陳	exhibit	1
つい	椎	oak	1
ちょう	塚	hillock	1
き	槻	Zelkova tree	1
し	漬	pickling	1
ちょう	蔦	vine	1
ちん	椿	camellia	1
へい	坪	two-mat area	1
ちゅう	紬	pongee (a knotted silk cloth)	1
てい	貞	upright	1
てい	呈	display	1
てい	悌	serving our elders	1
てい	禎	happiness	1
てい	艇	rowboat	1
てい	逓	relay	1
てい	邸	residence	1
てつ	迭	transfer	1
と	杜	woods	1
とう	悼	lament	1
とう	搭	board	1
とう	痘	pox	1
とう	謄	mimeograph	1
とう	騰	inflation	1
しょう	憧	yearn after	1
とうげ	峠	mountain peak	1
とく	匿	hide	1
とく	篤	fervent	1
とつ	凸	convex	1
いん	寅	sign of the tiger	1
ゆう	酉	west	1
とん	屯	barracks	1
しゅん	惇	sincere	1
とん	敦	industry	1
な	那	what?	1
なぎ	凪	lull	1
なつ	捺	press	1
なん	楠	camphor tree	1
に	弐	two	1
にょう	尿	urine	1
ない	乃	from	1
し	之	of	1
は	巴	comma-design	1
は	覇	hegemony	1
ばい	媒	mediator	1
ばい	賠	compensation	1
ばい	陪	obeisance	1
しゅう	萩	bush clover	1
はく	拍	clap	1
はく	舶	liner	1
ばく	縛	truss	1
ちょう	肇	beginning	1
ばつ	伐	fell	1
しゅん	隼	falcon	1
はん	帆	sail	1
はん	畔	paddy ridge	1
はん	藩	clan	1
はん	煩	anxiety	1
ばん	蛮	barbarian	1
ひ	卑	lowly	1
ひ	披	expose	1
ひつ	泌	ooze	1
ひ	碑	tombstone	1
ひ	緋	scarlet	1
ひ	罷	quit	1
び	眉	eyebrow	1
しゅ	柊	holly	1
げん	彦	lad	1
えん	媛	beautiful woman	1
ひょう	彪	spotted	1
びょう	苗	seedling	1
ひん	彬	refined	1
ひん	賓	V.I.P.	1
ふ	扶	aid	1
ふ	芙	lotus	1
ふ	譜	musical score	1
ふ	賦	levy	1
ふ	赴	proceed	1
ふ	附	affixed	1
ぶ	侮	scorn	1
ふう	楓	maple	1
ろ	蕗	butterbur	1
ふく	伏	prostrated	1
ふん	噴	erupt	1
ふん	憤	aroused	1
へい	丙	third class	1
へい	弊	abuse	1
へき	碧	blue	1
へん	偏	partial	1
へん	遍	everywhere	1
ほ	舗	shop	1
ほ	甫	for the first time	1
ほ	輔	help	1
ぼ	慕	pining	1
ほう	倣	emulate	1
ほう	俸	stipend	1
ほう	奉	observance	1
ほう	朋	companion	1
ほう	縫	sew	1
ほう	胞	placenta	1
ほう	芳	perfume	1
ほう	萌	show symptoms of	1
ほう	飽	sated	1
ほう	鳳	male mythical bird	1
ほう	鵬	phoenix	1
ぼう	傍	bystander	1
ぼう	剖	divide	1
ぼう	某	so-and-so	1
ぼう	紡	spinning	1
ぼう	肪	obese	1
ぼう	膨	swell	1
ぼく	朴	crude	1
ぼく	睦	intimate	1
ぼつ	没	drown	1
ほん	奔	run	1
ぼん	凡	commonplace	1
てん	槙	twig	1
まく	膜	membrane	1
まさ	柾	straight grain	1
えき	亦	also	1
まつ	抹	rub	1
けん	繭	cocoon	1
まろ	麿	I	1
まん	慢	ridicule	1
し	巳	sign of the snake or serpent	1
こう	岬	headland	1
ねん	稔	harvest	1
りょう	椋	type of deciduous tree	1
せい	婿	bridegroom	1
もう	妄	delusion	1
もう	孟	chief	1
もう	盲	blind	1
もう	耗	decrease	1
もん	紋	family crest	1
もんめ	匁	monme	1
や	冶	melting	1
や	耶	question mark	1
み	弥	all the more	1
せい	靖	peaceful	1
ゆ	愉	pleasure	1
ゆ	癒	healing	1
ゆ	諭	rebuke	1
ゆう	佑	help	1
ゆう	宥	soothe	1
ゆう	悠	permanence	1
ゆう	憂	melancholy	1
ゆ	柚	citron	1
ゆう	湧	boil	1
ゆう	猶	furthermore	1
ゆう	祐	help	1
ゆう	邑	village	1
よう	庸	commonplace	1
よう	擁	hug	1
よう	楊	willow	1
よう	窯	kiln	1
よう	耀	shine	1
よう	蓉	lotus	1
よう	謡	song	1
よう	遥	far off	1
ら	羅	gauze	1
らく	酪	dairy products	1
らん	欄	column	1
らん	濫	excessive	1
らん	藍	indigo	1
らん	蘭	orchid	1
り	吏	officer	1
り	李	plum	1
り	璃	glassy	1
り	痢	diarrhea	1
りゅう	琉	precious stone	1
りゅう	硫	sulphur	1
りょ	虜	captive	1
りょう	亮	clear	1
りょう	凌	endure	1
りょう	猟	game-hunting	1
りょう	稜	angle	1
りょう	糧	provisions	1
りょう	諒	fact	1
りょう	遼	distant	1
りょう	陵	mausoleum	1
りん	倫	ethics	1
りん	厘	rin	1
りん	琳	jewel	1
りん	麟	Chinese unicorn	1
る	瑠	lapis lazuli	1
るい	累	accumulate	1
れい	伶	actor	1
れい	嶺	peak	1
れい	怜	wise	1
れい	玲	sound of jewels	1
れん	廉	bargain	1
ろ	呂	spine	1
ろう	楼	watchtower	1
ろう	浪	wandering	1
ろく	禄	fief	1
わ	倭	Yamato	1
こう	亘	span	1
ゆう	侑	urge to eat	1
けい	勁	strong	1
けい	奎	star	1
りょう	崚	mountains towering in a row	1
すい	彗	comet	1
こう	昴	the Pleiades	1
あん	晏	late	1
しん	晨	morning	1
せい	晟	clear	1
き	暉	shine	1
かん	栞	bookmark	1
や	椰	coconut tree	1
きゅう	毬	burr	1
こう	洸	sparkling water	1
じゅん	洵	alike	1
こう	滉	deep and broad	1
そう	漱	gargle	1
れい	澪	water route	1
りょう	燎	burn	1
よう	燿	shine	1
よう	瑶	beautiful as a jewel	1
こう	皓	white	1
ぼう	眸	pupil of the eye	1
しょう	笙	a reed instrument	1
りん	綸	thread	1
しゅう	脩	dried meat	1
まつ	茉	jasmine	1
り	莉	jasmine	1
きん	菫	the violet	1
じゅん	詢	consult with	1
しゅん	諄	tedious	1
きゅう	赳	strong and brave	1
てき	迪	edify	1
しょう	頌	eulogy	1
さつ	颯	sudden	1
れい	黎	dark	1
りん	凜	cold	1
き	熙	bright	1
